Oc,media_erro,var_erro,desvio_padrao_erro
0,5.9292272725163485e-05,1364.9282576849316,36.944935480860316
10,-0.14845231768761094,407716.5294656805,638.5268431833391
20,0.26904422215427265,774446.8724142389,880.0266316505648
30,0.3807914741053275,1090489.3449859836,1044.2649783393024
40,0.32855304372823224,1367164.4087313698,1169.258059083353
50,0.3770037839206999,1600818.3727197482,1265.2345129341627
60,0.49774595788900217,1807178.8136178548,1344.3135101671242
70,0.20958836246814302,1969402.8332232381,1403.3541367820305
80,0.4268356527618379,2089093.0448711258,1445.369518452332
90,0.22753621122663775,2160707.123043294,1469.9343941289674
100,0.20245278630751212,2193124.2647328484,1480.9200737152726
