Oc,media_erro,var_erro,desvio_padrao_erro
0,8.355431081440958e-05,1364.9840897767604,36.94569108538586
10,-0.148262488216917,422172.38974958664,649.7479432438295
20,0.2699073750642006,803191.7796763626,896.2096739470974
30,0.3804161114933298,1131719.7040214867,1063.8231544864432
40,0.3274278449489549,1418016.0006897221,1190.8047701826367
50,0.3753836611243288,1661448.9963650582,1288.9720696605718
60,0.4951903118321452,1875885.2603841657,1369.6296070048156
70,0.21285983678584858,2042804.0690097867,1429.2669691173119
80,0.4244451672673824,2167474.973146488,1472.2346868439447
90,0.23166612569873626,2240691.7949619778,1496.8940493441671
100,0.20405898867099728,2275520.807704239,1508.482949092975
