Oc,media_erro,var_erro,desvio_padrao_erro
0,7.860270026002402e-05,1364.9319904574775,36.94498599888052
10,-0.14866501751197872,401371.788832486,633.5390981087797
20,0.2693984799470549,761604.8542557003,872.6997503469909
30,0.37876894455577903,1072609.7243029913,1035.6687328982136
40,0.3276507962761787,1344739.4293301892,1159.6290050400555
50,0.376407839650064,1574295.3102542942,1254.709253275154
60,0.4966553997578384,1776481.6316706943,1332.8471899173942
70,0.20959700975093815,1937208.9405644396,1391.8365351450002
80,0.4249918159645302,2054190.218802061,1433.2446472260278
90,0.2320696511670295,2125003.207078295,1457.73907372969
100,0.20501231487890217,2156289.393449452,1468.4309290700232
