Oc,media_erro,var_erro,desvio_padrao_erro
0,1.4818303772282581e-05,1369.1137208795963,37.00153673673022
0,1.4818303772282581e-05,1369.1137208795963,37.00153673673022
10,-0.14748692250371137,509751.96109893743,713.9691597673792
20,0.27284059610320954,971815.0244759326,985.8067886132316
30,0.3765183087605862,1372710.0113735835,1171.6270786276593
40,0.32630481172140197,1720988.3957498453,1311.8644730877672
50,0.3763793553117317,2017803.8423486324,1420.4942246797882
60,0.4936350898641541,2278044.1738296472,1509.3191093435632
70,0.2082115494154494,2477786.0009222343,1574.0984724350108
80,0.4258060478362918,2621278.5574815054,1619.036305177097
90,0.22645707970025739,2715569.401695993,1647.8984803973797
100,0.20423434093699036,2758621.086780497,1660.909716625349
